timestamp,b_0,b_1,b_2,b_3,axL,ayL,azL,gxL,gyL,gzL,mxL,myL,mzL,tbsL,axR,ayR,azR,gxR,gyR,gzR,mxR,myR,mzR,tbsR,trash
1651541315.1767719,0,0,0,0,,,,,,,,,,,,,,,,,,,,,"[""b'0.57"", '0.39', '-17.88', '-21.97', '-69.82', '15.99', '-17.14', '8.63', ""1\\r\\n'""]::[""b'18.10"", ""0\\r\\n'""]"
1651541315.1852717,0,0,0,0,0.33,0.57,0.40,-21.24,-26.25,-67.14,15.99,-17.14,8.63,1,0.26,0.54,0.45,-2.26,-11.66,-73.55,26.61,12.74,-18.10,0,none
1651541315.197801,0,0,0,0,0.33,0.56,0.46,-22.03,-29.42,-64.09,15.99,-17.14,8.63,1,0.25,0.51,0.50,-4.39,-16.30,-71.96,26.61,12.74,-18.10,0,none
1651541315.2079735,0,0,0,0,0.32,0.58,0.47,-20.81,-31.86,-61.04,15.99,-17.14,8.63,1,0.25,0.51,0.53,-6.65,-20.02,-67.02,26.61,12.74,-18.10,0,none
1651541315.2178807,0,0,0,0,0.31,0.64,0.48,-13.61,-34.61,-58.90,15.99,-17.14,8.63,1,0.24,0.52,0.58,-6.65,-20.02,-67.02,26.61,12.74,-18.10,0,none
1651541315.227852,0,0,0,0,0.34,0.71,0.44,-4.82,-38.45,-57.98,17.77,-17.18,7.35,1,0.24,0.56,0.59,-2.81,-25.82,-63.78,29.03,14.14,-18.98,0,none
1651541315.2380428,0,0,0,0,0.36,0.73,0.46,-5.43,-41.99,-58.78,17.77,-17.18,7.35,1,0.28,0.63,0.58,17.21,-32.78,-60.30,29.03,14.14,-18.98,0,none
1651541315.2480268,0,0,0,0,0.37,0.79,0.46,-9.22,-45.35,-61.58,17.77,-17.18,7.35,1,0.32,0.72,0.53,15.01,-36.25,-62.38,29.03,14.14,-18.98,0,none
1651541315.2584531,0,0,0,0,0.35,0.83,0.49,-11.47,-48.22,-65.55,17.77,-17.18,7.35,1,0.31,0.77,0.56,9.09,-38.64,-66.59,29.03,14.14,-18.98,0,none
1651541315.2689323,0,0,0,0,0.32,0.84,0.53,-9.70,-50.48,-70.31,17.77,-17.18,7.35,1,0.28,0.78,0.61,8.24,-40.22,-71.41,29.03,14.14,-18.98,0,none
1651541315.2793033,0,0,0,0,0.31,0.82,0.56,-0.98,-52.61,-74.83,17.77,-17.18,7.35,1,0.25,0.74,0.66,11.23,-41.50,-75.87,29.03,14.14,-18.98,0,none
1651541315.2898557,0,0,0,0,0.30,0.77,0.65,8.00,-53.28,-78.31,19.54,-15.26,8.40,1,0.23,0.68,0.80,23.86,-41.50,-78.98,30.03,15.30,-19.65,0,none
1651541315.299995,0,0,0,0,0.33,0.63,0.65,5.92,-52.37,-78.74,19.54,-15.26,8.40,1,0.24,0.61,0.72,27.04,-41.69,-80.63,30.03,15.30,-19.65,0,none
1651541315.3113787,0,0,0,0,0.34,0.57,0.71,2.99,-50.54,-76.48,19.54,-15.26,8.40,1,0.25,0.52,0.76,25.33,-40.34,-80.14,30.03,15.30,-19.65,0,none
1651541315.3300378,0,0,0,0,0.36,0.50,0.72,0.06,-48.16,-72.02,19.54,-15.26,8.40,1,0.25,0.46,0.79,20.69,-38.39,-77.51,30.03,15.30,-19.65,0,none
