timestamp,b_0,b_1,b_2,b_3,ax,ay,az,gx,gy,gz,mx,my,mz,tbs,trash
1651612523.4091043,0,0,0,0,,,,,,,,,,,"[""b'0.05"", '0.43', '0.87', '3.54', '0.00', '2.81', '-7.82', '45.39', '-31.43', ""0\\r\\n'""]"
1651612523.4148185,0,0,0,0,,,,,,,,,,,"[""b'0.05"", '0.44', '0.88', '3.11', '-0.12', '2.62', '-7.82', '45.39', '-31.43', ""0\\r\\n'""]"
1651612523.4216244,0,0,0,0,,,,,,,,,,,"[""b'0.04"", '0.44', '0.90', '3.36', '-0.06', '2.44', '-7.82', '45.39', '-31.43', ""0\\r\\n'""]"
1651612523.4277437,0,0,0,0,,,,,,,,,,,"[""b'0.05"", '0.40', '0.89', '4.33', '-0.12', '2.20', '-7.13', '45.59', '-29.68', ""0\\r\\n'""]"
1651612523.433706,0,0,0,0,,,,,,,,,,,"[""b'0.06"", '0.41', '0.90', '5.13', '-0.31', '1.89', '-7.13', '45.59', '-29.68', ""0\\r\\n'""]"
1651612523.439601,0,0,0,0,,,,,,,,,,,"[""b'0.05"", '0.42', '0.91', '2.56', '-1.04', '1.28', '-7.13', '45.59', '-29.68', ""0\\r\\n'""]"
1651612523.4458017,0,0,0,0,,,,,,,,,,,"[""b'0.05"", '0.40', '0.90', '2.01', '-1.46', '0.61', '-7.13', '45.59', '-29.68', ""0\\r\\n'""]"
1651612523.4517074,0,0,0,0,,,,,,,,,,,"[""b'0.04"", '0.38', '0.90', '0.79', '-2.14', '-0.06', '-7.13', '45.59', '-29.68', ""0\\r\\n'""]"
1651612523.4571016,0,0,0,0,,,,,,,,,,,"[""b'0.03"", '0.42', '0.91', '-0.67', '-2.69', '-0.98', '-7.13', '45.59', '-29.68', ""0\\r\\n'""]"
1651612523.4635758,0,0,0,0,,,,,,,,,,,"[""b'0.02"", '0.36', '0.92', '0.92', '-2.87', '-1.46', '-7.96', '46.20', '-30.75', ""0\\r\\n'""]"
1651612523.469339,0,0,0,0,,,,,,,,,,,"[""b'0.01"", '0.42', '0.92', '-0.43', '-4.03', '-2.62', '-7.96', '46.20', '-30.75', ""0\\r\\n'""]"
